股票代號,股票名稱,停券起日(最後回補日),停券迄日,原因,融券_今日餘額_D0,借券_當日餘額_D0,融券_今日餘額_D-1,借券_當日餘額_D-1,融券_今日餘額_D-2,借券_當日餘額_D-2,融券_今日餘額_D-3,借券_當日餘額_D-3,融券_今日餘額_D-4,借券_當日餘額_D-4
00685L,群益臺灣加權正2,115.06.25,115.06.30,ETF分割,"53,000","3,499,000","8,000","3,498,000","27,000","3,388,000","44,000","3,438,000","35,000","3,518,000"
00710B,復華彭博非投等債,115.06.11,115.06.16,分配收益,0,"463,000",0,"463,000",0,"463,000",0,"463,000",0,"463,000"
00711B,復華彭博新興債,115.06.11,115.06.16,分配收益,0,"99,000",0,"99,000",0,"99,000",0,"99,000",0,"99,000"
00712,復華富時不動產,115.06.11,115.06.16,分配收益,"99,000","33,525,000","318,000","33,661,000","9,080,000","35,661,000","9,069,000","35,661,000","75,000","28,046,000"
00713,元大台灣高息低波,115.06.15,115.06.18,分配收益,0,"10,814,000",0,"10,812,000",0,"10,637,000","4,000","10,628,000","4,000","10,334,000"
00728,第一金工業30,115.06.12,115.06.17,分配收益,0,"91,000",0,"91,000",0,"91,000",0,"91,000",0,"91,000"
00730,富邦臺灣優質高息,115.06.10,115.06.15,分配收益,0,"1,597,000",0,"1,597,000",0,"1,597,000",0,"1,597,000",0,"1,597,000"
00896,中信綠能及電動車,115.06.10,115.06.15,分配收益,"2,000","4,710,000",0,"4,469,000",0,"4,352,000",0,"4,352,000",0,"3,828,000"
00900,富邦特選高股息30,115.06.10,115.06.15,分配收益,0,"42,150,000",0,"42,038,000",0,"42,271,000",0,"42,493,000",0,"42,927,000"
00907,永豐優息存股,115.06.17,115.06.23,分配收益,0,"773,000",0,"773,000",0,"779,000",0,"779,000",0,"782,000"
00915,凱基優選高股息30,115.06.10,115.06.15,分配收益,0,"8,087,000",0,"8,230,000",0,"8,208,000",0,"8,335,000",0,"10,084,000"
00916,國泰全球品牌50,115.06.10,115.06.15,分配收益,"187,000","5,235,000","107,000","4,562,000","78,000","3,340,000","42,000","3,256,000","159,000","3,158,000"
00918,大華優利高填息30,115.06.12,115.06.17,分配收益,"48,000","37,433,000","18,000","36,890,000","56,000","35,597,000","19,000","34,296,000","34,000","32,487,000"
00919,群益台灣精選高息,115.06.10,115.06.15,分配收益,"95,000","213,227,000","86,000","215,113,000","167,000","207,140,000","236,000","205,115,000","190,000","214,667,000"
00921,兆豐龍頭等權重,115.06.10,115.06.15,分配收益,0,"314,000",0,"314,000",0,"314,000",0,"314,000",0,"314,000"
00929,復華台灣科技優息,115.06.11,115.06.16,分配收益,"2,000","46,647,000","17,000","46,284,000","2,000","40,156,000","29,000","37,081,000","79,000","47,725,000"
00934,中信成長高股息,115.06.10,115.06.15,分配收益,0,"419,000",0,"729,000",0,"729,000",0,"729,000",0,"768,000"
